"from_stop_id","to_stop_id","transfer_type","min_transfer_time"
"1012-2510273","1012-2510272","0",""
"1012-2510402","1012-2510404","0",""
"1012-2510404","1012-2510405","0",""
"1012-2510405","1012-2510403","0",""
"1012-2510411","1012-2510410","0",""
"1012-2510411","1012-2510412","0",""
"1012-2510412","1012-2510410","0",""
"1012-2510412","1012-2510411","0",""
"1012-2510413","1012-2510411","0",""
"1012-2510506","1012-2510507","0",""
"1012-2510506","1012-2510515","0",""
"1012-2510506","1012-2510516","0",""
"1012-2510507","1012-2510506","0",""
"1012-2510507","1012-2510510","0",""
"1012-2510507","1012-2510512","0",""
"1012-2510507","1012-2510513","0",""
"1012-2510507","1012-2510515","0",""
"1012-2510507","1012-2510516","0",""
"1012-2510510","1012-2510507","0",""
"1012-2510510","1012-2510515","0",""
"1012-2510510","1012-2510517","0",""
"1012-2510510","1012-2510518","0",""
"1012-2510510","1012-2510519","0",""
"1012-2510510","1012-2510520","0",""
"1012-2510512","1012-2510506","0",""
"1012-2510512","1012-2510507","0",""
"1012-2510512","1012-2510515","0",""
"1012-2510512","1012-2510517","0",""
"1012-2510513","1012-2510507","0",""
"1012-2510513","1012-2510515","0",""
"1012-2510513","1012-2510519","0",""
"1012-2510515","1012-2510506","0",""
"1012-2510515","1012-2510507","0",""
"1012-2510515","1012-2510510","0",""
"1012-2510515","1012-2510512","0",""
"1012-2510515","1012-2510516","0",""
"1012-2510515","1012-2510518","0",""
"1012-2510515","1012-2510520","0",""
"1012-2510516","1012-2510507","0",""
"1012-2510516","1012-2510513","0",""
"1012-2510516","1012-2510515","0",""
"1012-2510516","1012-2510519","0",""
"1012-2510516","1012-2510520","0",""
"1012-2510517","1012-2510520","0",""
"1012-2510518","1012-2510512","0",""
"1012-2510518","1012-2510515","0",""
"1012-2510518","1012-2510516","0",""
"1012-2510518","1012-2510519","0",""
"1012-2510518","1012-2510520","0",""
"1012-2510519","1012-2510512","0",""
"1012-2510519","1012-2510515","0",""
"1012-2510519","1012-2510518","0",""
"1012-2510519","1012-2510520","0",""
"1012-2510520","1012-2510510","0",""
"1012-2510520","1012-2510512","0",""
"1012-2510520","1012-2510513","0",""
"1012-2510520","1012-2510515","0",""
"1012-2510520","1012-2510516","0",""
"1012-2510520","1012-2510517","0",""
"1012-2510520","1012-2510518","0",""
"1012-2510520","1012-2510519","0",""
"1012-2510627","1012-2510628","0",""
"1012-2510627","1012-2510629","0",""
"1012-2510627","1012-2510630","0",""
"1012-2510628","1012-2510627","0",""
"1012-2510628","1012-2510629","0",""
"1012-2510628","1012-2510630","0",""
"1012-2510629","1012-2510627","0",""
"1012-2510629","1012-2510628","0",""
"1012-2510629","1012-2510630","0",""
"1012-2510630","1012-2510627","0",""
"1012-2510630","1012-2510628","0",""
"1012-2510677","1012-2510679","0",""
"1012-2510679","1012-2510677","0",""
"1012-2510719","1012-2510717","0",""
"1012-2510719","1012-2510720","0",""
"1012-2510899","1012-2510901","0",""
"1012-2510899","1012-2510908","0",""
"1012-2510900","1012-2510908","0",""
"1012-2510901","1012-2510905","0",""
"1012-2510901","1012-2510908","0",""
"1012-2510905","1012-2510901","0",""
"1012-2510905","1012-2510903","0",""
"1012-2510908","1012-2510899","0",""
"1012-2510908","1012-2510901","0",""
"1012-2510957","1012-2510958","0",""
"1012-2510957","1012-2510960","0",""
"1012-2510958","1012-2510960","0",""
